fund_code,fund_name,strategy,company_name,company_code,instrument_id,instrument_type,deal_date,principal_invested,currency,coupon_rate,maturity_date,internal_price,position_status
SSF-010,Sixth Street Real Estate Debt Fund X,Real Estate Debt,Aurora Clean Energy,AURCE,AURCE-2028-BRL,Bridge Loan,2025-01-12,15000000,USD,9.07,2028-01-12,104.1,Active
SSF-010,Sixth Street Real Estate Debt Fund X,Real Estate Debt,Cobalt Materials,CBLTM,CBLTM-2032-SUB,Subordinated Note,2025-03-17,25000000,USD,6.98,2032-03-17,105.8,Active
SSF-012,Sixth Street Direct Lending Fund XII,Direct Lending,Alpine Hospitality,ALPNH,ALPNH-2028-TL,Term Loan,2025-01-28,35000000,USD,9.33,2028-01-28,102.0,Active
SSF-013,Sixth Street European Opportunities Fund XIII,European Credit,TechNova AI,TCNVA,TCNVA-2026-EQ,Equity Warrant,2025-02-26,20000000,EUR,,2026-02-26,,Active
SSF-013,Sixth Street European Opportunities Fund XIII,European Credit,Quantum Diagnostics,QNTDX,QNTDX-2027-CVT,Convertible Note,2025-02-08,14000000,EUR,5.49,2027-02-08,90.6,Active
SSF-013,Sixth Street European Opportunities Fund XIII,European Credit,DataStream Analytics,DTSTR,DTSTR-2028-SUB,Subordinated Note,2025-01-01,25000000,EUR,8.33,2028-01-01,103.9,Active
SSF-014,Sixth Street Growth Partners Fund XIV,Growth Equity,Thames Grid Solutions,THMGS,THMGS-2028-RCF,Revolving Credit Facility,2025-03-17,12000000,USD,9.28,2028-03-17,94.5,Active
SSF-014,Sixth Street Growth Partners Fund XIV,Growth Equity,Caledonian Rail,CLDRN,CLDRN-2028-BRL,Bridge Loan,2025-01-19,8000000,USD,3.75,2028-01-19,105.5,Exited
SSF-014,Sixth Street Growth Partners Fund XIV,Growth Equity,Windsor Utilities,WNDSR,WNDSR-2026-CVT,Convertible Note,2025-02-14,14000000,USD,6.88,2026-02-14,95.5,Active
SSF-014,Sixth Street Growth Partners Fund XIV,Growth Equity,Pacific Semiconductor,PACSM,PACSM-2026-BRL,Bridge Loan,2025-01-23,32000000,USD,8.85,2026-01-23,93.0,Active
SSF-015,Sixth Street Infrastructure Partners Fund XV,Infrastructure,Horizon Shipping,HRZNS,HRZNS-2031-BRL,Bridge Loan,2025-03-11,18000000,GBP,5.37,2031-03-11,91.1,Active
SSF-015,Sixth Street Infrastructure Partners Fund XV,Infrastructure,SilverLake Ventures,SVLKV,SVLKV-2031-TL,Term Loan,2025-02-13,25000000,GBP,6.3,2031-02-13,100.7,Active
SSF-015,Sixth Street Infrastructure Partners Fund XV,Infrastructure,Cascade Telecom,CSCTL,CSCTL-2027-BRL,Bridge Loan,2025-03-24,18000000,GBP,5.73,2027-03-24,105.0,Active
SSF-015,Sixth Street Infrastructure Partners Fund XV,Infrastructure,Redwood Capital Partners,RDWCP,RDWCP-2030-UTR,Unitranche,2025-02-10,25000000,GBP,5.64,2030-02-10,103.3,Active
SSF-015,Sixth Street Infrastructure Partners Fund XV,Infrastructure,Vanguard Aerospace,VNGRD,VNGRD-2030-UTR,Unitranche,2025-01-17,28000000,GBP,6.02,2030-01-17,97.1,Active
SSF-016,Sixth Street Asia Credit Fund XVI,Asia-Pacific,Sterling Industrial,STRLI,STRLI-2031-BND,Corporate Bond,2025-03-11,12000000,USD,4.84,2031-03-11,100.6,Active
SSF-016,Sixth Street Asia Credit Fund XVI,Asia-Pacific,Atlas Chemicals,ATLSC,ATLSC-2031-MZN,Mezzanine Debt,2025-01-02,25000000,USD,4.46,2031-01-02,93.2,Active
SSF-016,Sixth Street Asia Credit Fund XVI,Asia-Pacific,Meridian Hotels,MRDNH,MRDNH-2030-SUB,Subordinated Note,2025-03-07,12000000,USD,5.96,2030-03-07,104.2,Active
SSF-016,Sixth Street Asia Credit Fund XVI,Asia-Pacific,Ironclad Security,IRNCS,IRNCS-2029-EQ,Equity Warrant,2025-01-25,35000000,USD,,2029-01-25,,Active
SSF-016,Sixth Street Asia Credit Fund XVI,Asia-Pacific,Olympus Mining,OLYMN,OLYMN-2027-MZN,Mezzanine Debt,2025-01-15,50000000,USD,6.02,2027-01-15,98.9,Active
SSF-017,Sixth Street Distressed Opportunities Fund XVII,Distressed Debt,Zenith Healthcare,ZNTHL,ZNTHL-2030-BRL,Bridge Loan,2025-03-27,28000000,USD,9.18,2030-03-27,104.3,Active
SSF-017,Sixth Street Distressed Opportunities Fund XVII,Distressed Debt,Falcon Logistics,FLCNL,FLCNL-2029-BRL,Bridge Loan,2025-02-15,40000000,USD,8.83,2029-02-15,101.9,Active
SSF-017,Sixth Street Distressed Opportunities Fund XVII,Distressed Debt,Neptune Offshore,NPTNO,NPTNO-2032-MZN,Mezzanine Debt,2025-03-08,22000000,USD,7.98,2032-03-08,98.3,Active
SSF-017,Sixth Street Distressed Opportunities Fund XVII,Distressed Debt,Titan Construction,TTNCO,TTNCO-2031-TL,Term Loan,2025-03-03,25000000,USD,4.52,2031-03-03,95.4,Active
SSF-018,Sixth Street CLO Partners Fund XVIII,CLO / Structured,Eclipse Fintech,ECLPF,ECLPF-2031-EQ,Equity Warrant,2025-02-11,18000000,USD,,2031-02-11,,Active
SSF-018,Sixth Street CLO Partners Fund XVIII,CLO / Structured,Aurora Clean Energy,AURCE,AURCE-2029-EQ,Equity Warrant,2025-02-16,32000000,USD,,2029-02-16,,Active
SSF-018,Sixth Street CLO Partners Fund XVIII,CLO / Structured,Cobalt Materials,CBLTM,CBLTM-2030-EQ,Equity Warrant,2025-02-01,32000000,USD,,2030-02-01,,Active
SSF-020,Sixth Street Multi-Strategy Fund XX,Multi-Asset,Lakeshore Metals,LKSHM,LKSHM-2030-UTR,Unitranche,2025-02-04,14000000,USD,8.06,2030-02-04,92.6,Active
SSF-020,Sixth Street Multi-Strategy Fund XX,Multi-Asset,Oceanic Freight,OCNFR,OCNFR-2030-CVT,Convertible Note,2025-01-19,32000000,USD,5.58,2030-01-19,101.4,Active
SSF-021,Sixth Street Senior Lending Fund XXI,Direct Lending,Solaris Renewables,SLRSR,SLRSR-2026-MZN,Mezzanine Debt,2025-01-26,25000000,USD,8.53,2026-01-26,99.6,Exited
SSF-021,Sixth Street Senior Lending Fund XXI,Direct Lending,Nordic Transport,NRDTR,NRDTR-2028-SSN,Senior Secured Note,2025-03-11,35000000,USD,7.3,2028-03-11,91.1,Active
SSF-021,Sixth Street Senior Lending Fund XXI,Direct Lending,Rhine Industries,RHINID,RHINID-2032-EQ,Equity Warrant,2025-03-27,,USD,,2032-03-27,,Active
SSF-021,Sixth Street Senior Lending Fund XXI,Direct Lending,Alpine Hospitality,ALPNH,ALPNH-2031-BND,Corporate Bond,2025-03-25,50000000,USD,9.28,2031-03-25,94.3,Active
SSF-021,Sixth Street Senior Lending Fund XXI,Direct Lending,TechNova AI,TCNVA,TCNVA-2032-EQ,Equity Warrant,2025-01-09,,USD,,2032-01-09,,Active
SSF-022,Sixth Street European Direct Lending Fund XXII,European Credit,Quantum Diagnostics,QNTDX,QNTDX-2030-UTR,Unitranche,2025-02-06,32000000,EUR,5.19,2030-02-06,97.9,Active
SSF-022,Sixth Street European Direct Lending Fund XXII,European Credit,DataStream Analytics,DTSTR,DTSTR-2032-RCF,Revolving Credit Facility,2025-03-09,22000000,EUR,5.21,2032-03-09,104.1,Active
SSF-022,Sixth Street European Direct Lending Fund XXII,European Credit,Thames Grid Solutions,THMGS,THMGS-2027-BRL,Bridge Loan,2025-03-25,12000000,EUR,4.57,2027-03-25,96.5,Active
SSF-022,Sixth Street European Direct Lending Fund XXII,European Credit,Caledonian Rail,CLDRN,CLDRN-2031-SUB,Subordinated Note,2025-02-08,45000000,EUR,5.91,2031-02-08,90.3,Active
SSF-023,Sixth Street Global Opportunities Fund XXIII,Opportunistic Credit,Windsor Utilities,WNDSR,WNDSR-2031-CVT,Convertible Note,2025-02-24,30000000,USD,6.08,2031-02-24,98.5,Active
SSF-023,Sixth Street Global Opportunities Fund XXIII,Opportunistic Credit,Pacific Semiconductor,PACSM,PACSM-2031-RCF,Revolving Credit Facility,2025-01-24,40000000,USD,4.76,2031-01-24,94.0,Active
SSF-023,Sixth Street Global Opportunities Fund XXIII,Opportunistic Credit,Horizon Shipping,HRZNS,HRZNS-2031-TL,Term Loan,2025-02-24,16000000,USD,4.25,2031-02-24,101.8,Active
SSF-024,Sixth Street Infrastructure Credit Fund XXIV,Infrastructure,SilverLake Ventures,SVLKV,SVLKV-2028-UTR,Unitranche,2025-02-06,14000000,GBP,8.41,2028-02-06,94.7,Active
SSF-024,Sixth Street Infrastructure Credit Fund XXIV,Infrastructure,Cascade Telecom,CSCTL,CSCTL-2028-BRL,Bridge Loan,2025-03-05,10000000,GBP,9.33,2028-03-05,98.9,Active
SSF-024,Sixth Street Infrastructure Credit Fund XXIV,Infrastructure,Redwood Capital Partners,RDWCP,RDWCP-2026-SUB,Subordinated Note,2025-02-11,8000000,GBP,6.73,2026-02-11,97.5,Active
SSF-024,Sixth Street Infrastructure Credit Fund XXIV,Infrastructure,Vanguard Aerospace,VNGRD,VNGRD-2028-SSN,Senior Secured Note,2025-02-03,45000000,GBP,3.74,2028-02-03,91.0,Active
SSF-024,Sixth Street Infrastructure Credit Fund XXIV,Infrastructure,Sterling Industrial,STRLI,STRLI-2027-SSN,Senior Secured Note,2025-01-08,15000000,GBP,8.27,2027-01-08,105.2,Active
SSF-025,Sixth Street Specialty Finance Fund XXV,CLO / Structured,Atlas Chemicals,ATLSC,ATLSC-2030-UTR,Unitranche,2025-02-10,20000000,USD,8.04,2030-02-10,96.1,Active
SSF-025,Sixth Street Specialty Finance Fund XXV,CLO / Structured,Meridian Hotels,MRDNH,MRDNH-2028-EQ,Equity Warrant,2025-01-21,16000000,USD,,2028-01-21,,Active
SSF-025,Sixth Street Specialty Finance Fund XXV,CLO / Structured,Ironclad Security,IRNCS,IRNCS-2027-MZN,Mezzanine Debt,2025-03-20,12000000,USD,4.02,2027-03-20,96.5,Active
SSF-025,Sixth Street Specialty Finance Fund XXV,CLO / Structured,Olympus Mining,OLYMN,OLYMN-2027-SSN,Senior Secured Note,2025-02-03,25000000,USD,7.6,2027-02-03,101.2,Active
SSF-026,Sixth Street Real Assets Fund XXVI,Real Estate Debt,Zenith Healthcare,ZNTHL,ZNTHL-2031-UTR,Unitranche,2025-03-05,18000000,USD,5.76,2031-03-05,98.7,Active
SSF-026,Sixth Street Real Assets Fund XXVI,Real Estate Debt,Falcon Logistics,FLCNL,FLCNL-2027-BND,Corporate Bond,2025-02-15,25000000,USD,6.87,2027-02-15,103.2,Active
SSF-026,Sixth Street Real Assets Fund XXVI,Real Estate Debt,Neptune Offshore,NPTNO,NPTNO-2031-CVT,Convertible Note,2025-02-15,32000000,USD,9.13,2031-02-15,98.0,Active
SSF-026,Sixth Street Real Assets Fund XXVI,Real Estate Debt,Titan Construction,TTNCO,TTNCO-2029-SSN,Senior Secured Note,2025-01-22,28000000,USD,6.92,2029-01-22,90.4,Active
SSF-027,Sixth Street Asia Growth Fund XXVII,Asia-Pacific,Eclipse Fintech,ECLPF,ECLPF-2026-UTR,Unitranche,2025-01-16,22000000,USD,6.75,2026-01-16,102.2,Active
SSF-027,Sixth Street Asia Growth Fund XXVII,Asia-Pacific,Aurora Clean Energy,AURCE,AURCE-2028-SUB,Subordinated Note,2025-02-03,16000000,USD,9.48,2028-02-03,97.0,Active
SSF-027,Sixth Street Asia Growth Fund XXVII,Asia-Pacific,Cobalt Materials,CBLTM,CBLTM-2028-EQ,Equity Warrant,2025-02-14,,USD,,2028-02-14,,Active
SSF-028,Sixth Street Distressed Credit Fund XXVIII,Distressed Debt,Neptune Offshore,NPTNO,NPTNO-2029-BND,Corporate Bond,2025-01-28,18000000,EUR,8.99,2029-01-28,98.1,Active
SSF-005,Sixth Street Growth Equity Fund V,Growth Equity,SilverLake Ventures,SVLKV,SVLKV-2030-EQ,Equity Warrant,2025-03-20,8000000,USD,,2030-03-20,,Active
SSF-004,Sixth Street European Credit Fund IV,European Credit,Genève Immobilier Sàrl,GNVIM,GNVIM-2029-SSN,Senior Secured Note,2025-01-18,22000000,EUR,5.25,2029-01-18,99.4,Active
SSF-013,Sixth Street European Opportunities Fund XIII,European Credit,Geneve Immobilier S.A.R.L,GNVIM,GNVIM-2031-TL,Term Loan,2025-02-12,18000000,EUR,5.75,2031-02-12,97.8,Active
SSF-004,Sixth Street European Credit Fund IV,European Credit,Müller & Söhne GmbH,MLRSH,MLRSH-2028-BND,Corporate Bond,2025-02-05,15000000,EUR,4.5,2028-02-05,101.3,Active
SSF-022,Sixth Street European Direct Lending Fund XXII,European Credit,Mueller & Soehne GmbH,MLRSH,MLRSH-2030-TL,Term Loan,2025-03-10,20000000,EUR,5.1,2030-03-10,98.5,Active
SSF-007,Sixth Street Asia-Pacific Opportunities Fund VII,Asia-Pacific,São Paulo Holdings,SPHLG,SPHLG-2029-SSN,Senior Secured Note,2025-01-25,16000000,USD,7.25,2029-01-25,96.8,Active
SSF-016,Sixth Street Asia Credit Fund XVI,Asia-Pacific,Sao Paulo Holdings,SPHLG,SPHLG-2031-MZN,Mezzanine Debt,2025-03-01,12000000,USD,8.75,2031-03-01,94.5,Active
